"Horodateur","Quel est votre numéro étudiant ?","Êtes-vous de bonne humeur ?","Qu'avez-vous fait avant l'ENSIM ?","Suivez-vous les actualités technologiques ?","Avez-vous des passe-temps artistiques ?","Êtes-vous créatif ?","Êtes-vous intéressés par des associations étudiantes ?","Pensez-vous venir aux soirées Ensim ?","Où vous situez-vous naturellement dans une classe de cours ?","Possédez-vous un compte Netflix/Amazon Prime ?","Lisez/regardez-vous des animés ?","Préférez-vous être sous Windows, Mac OS ou Linux sur votre ordi perso ?","Avez-vous déjà monté ou démonté un PC ?","Possédez-vous plus d'un écran d'ordinateur à votre domicile ?","Pour votre ordinateur personnel, vous préférez privilégier les performances de calcul (Processeur) ou les performances graphiques (Carte graphique) ?","Préférez-vous créer une solution à partir de rien ou à partir d'une base ?","Aimez-vous travailler en équipe ?","Préférez-vous diriger ou être dirigé ?","Aimeriez-vous être / êtes-vous en colocation ?","Plutôt clavier ou souris ?"
"2021/09/21 11:50:37 AM UTC+2","20190448","3","Prépa intégrée","2","3","3","BDLC;Enigma;Ensimien;Kfet;Troublions du plateau","3","Plutôt milieu","Oui","2","Windows","Jamais","Non","Performances","A partir d'une base","2","Diriger","Non","Clavier"
"2021/09/21 11:51:39 AM UTC+2","e190568","3","Prépa intégrée","2","4","3","Aucune","2","Plutôt derrière","Oui","4","Windows","Jamais","Oui","Graphismes","A partir de rien","3","Être dirigé","Oui","Clavier"
"2021/09/21 11:52:05 AM UTC+2","21005534","4","Prépa classique","3","4","4","BDE;BDLC;Enigma;Kfet;Kverne","2","Plutôt derrière","Oui","4","Windows","1 fois pour tester","Oui","Graphismes","A partir de rien","3","Diriger","Non","Clavier"
"2021/09/21 11:52:06 AM UTC+2","e191228","4","Prépa intégrée","3","3","3","Enigma;Ensim Fit;Ensimien;MAO;Troublions du plateau","3","Plutôt derrière","Oui","3","Windows","Jamais","Oui","Performances","A partir d'une base","2","Diriger","Non","Souris"
"2021/09/21 11:52:20 AM UTC+2","20193694","3","Prépa intégrée","3","4","4","BDE;BDLC;Ensim Fit;GALA;K[art]el","4","Plutôt devant","Oui","4","Mac","Jamais","Oui","Performances","A partir d'une base","4","Diriger","Non","Clavier"
"2021/09/21 11:52:23 AM UTC+2","e2103488","3","DUT","4","1","2","BDE;BDLC","4","Plutôt milieu","Oui","1","Mac","Plus d'une fois","Oui","Performances","A partir d'une base","4","Être dirigé","Non","Clavier"
"2021/09/21 11:52:23 AM UTC+2","20191136","4","Prépa intégrée","2","3","3","BDE;BDLC;Enigma;Ensimien;RadioAlpha;Troublions du plateau","4","Plutôt devant","Non","4","Windows","1 fois pour tester","Oui","Performances","A partir d'une base","2","Diriger","Non","Clavier"
"2021/09/21 11:52:25 AM UTC+2","21004647","3","Prépa classique","4","2","3","BDE;BDLC;Ensim Fit;MAO","3","Plutôt milieu","Oui","2","Windows","1 fois pour tester","Non","Performances","A partir d'une base","3","Être dirigé","Non","Clavier"
"2021/09/21 11:52:27 AM UTC+2","21004530","3","DUT","3","1","3","Jensim;Kfet","4","Plutôt derrière","Oui","1","Windows","Jamais","Oui","Performances","A partir de rien","4","Diriger","Non","Clavier"
"2021/09/21 11:52:32 AM UTC+2","20192581","4","Prépa intégrée","4","1","2","Enigma","2","Plutôt milieu","Non","3","Windows","Jamais","Non","Performances","A partir de rien","4","Diriger","Non","Clavier"
